pmid,abstract,arm_num_gold,share_duration,shared_duration_yn,shared_dose,shared_dose_yn,shared_intervention_name,shared_intervention_name_yn,shared_intervention_type,shared_intervention_type_yn,shared_route,shared_route_yn,shared_sample_size,shared_sample_size_yn,shared_schedule,shared_schedule_yn,group_1_dose,group_1_duration,group_1_intervention_name,group_1_intervention_type,group_1_route,group_1_sample_size,group_1_schedule,group_2_dose,group_2_duration,group_2_intervention_name,group_2_intervention_type,group_2_route,group_2_sample_size,group_2_schedule,group_3_dose,group_3_duration,group_3_intervention_name,group_3_intervention_type,group_3_route,group_3_sample_size,group_3_schedule,group_4_dose,group_4_duration,group_4_intervention_name,group_4_intervention_type,group_4_route,group_4_sample_size,group_4_schedule,group_5_dose,group_5_duration,group_5_intervention_name,group_5_intervention_type,group_5_route,group_5_sample_size,group_5_schedule,group_6_dose,group_6_duration,group_6_intervention_name,group_6_intervention_type,group_6_route,group_6_sample_size,group_6_schedule,group_7_dose,group_7_duration,group_7_intervention_name,group_7_intervention_type,group_7_route,group_7_sample_size,group_7_schedule,group_8_dose,group_8_duration,group_8_intervention_name,group_8_intervention_type,group_8_route,group_8_sample_size,group_8_schedule,over_eight_groups,title
17525906,"Daunorubicin (DNR) is one of the most important drugs in treatment of acute lymphoblastic leukemia (ALL). Prolonged infusions of anthracyclines are less cardiotoxic but it has not been investigated whether the in vivo leukemic cell kill is equivalent to short-term infusions.<br /><br />In the cooperative treatment study COALL-92 for childhood ALL 178 patients were randomized to receive in a therapeutic window a single dose of 36 mg/m (2) DNR either as a 1-h (85 patients) or 24-h infusion (93 patients). Daily measurements of white blood cell count (WBC) and peripheral blood smears for seven days could be evaluated centrally in 101 patients (1-h: 43 patients, 24-h: 58 patients).<br /><br />The proportional decline of blasts at day 7 after DNR infusion showed no statistically significant difference between the two treatment arms. At day 3 the median percentage of blasts was less than 10%, at day 7 less than 2% for either the 1-h or 24-h infusion. Twelve patients (1-h: 5 patients, 24-h: 7 patients) had an absolute number of more than 1000 blasts per mul peripheral blood (PB) at day 7 after DNR infusion (DNR poor responders). Kaplan-Meier analysis showed an equal probability of EFS for the short- and long-term infusion group (24-h: 83%+/-5; 1-h: 81+/-6) after a median observation time of 12.3 years.<br /><br />We conclude that in children with ALL a 24-h infusion of DNR has the same in vivo cytotoxicity for leukemic cells as a 1-h infusion. This offers the possibility to use prolonged infusions with hopefully less cardiotoxicity without loss of efficacy.",two,,,36 mg/m (2),TRUE,,,Pharmacological,TRUE,infusion,TRUE,178,TRUE,single dose,TRUE,,1-h infusion,Daunorubicin (DNR) ,,,85,,,24-h infusion,Daunorubicin (DNR) ,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17855465,"Homeless youth face various health challenges. The effectiveness of a short intervention to promote sexual health in 572 homeless 16-23-year-olds (M = 19.467+1.89) was conducted using a quasi-experimental repeated measures design. Data collected at three time points (pre-intervention, immediately post-intervention and follow-up) via laptop computers were analyzed using multivariate general linear mixed models. A significant condition by time interaction was found for self-reported AIDS/STD knowledge; intervention participants had higher scores at first post-test. Females scored significantly higher on cognitive and behavioral outcomes while males reported significantly more sexual risk-taking behaviors. Findings support gender-specific interventions.",one?,,,,,,,Behavioral,TRUE,,,572,TRUE,,,,,a short intervention to promote sexual health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18289228,"The anhepatic period of liver transplantation is generally marked by a decrease in preload, and the infusion of hydroxyethyl starch (HES) solution is often an effective way to restore volume deficits in non-anaemic patients. However, the infusion of even limited amounts of HES solution during the anhepatic period may result in a worsening coagulopathy. Moreover, lactate-containing HES solution may cause some degree of biochemical derangements in compromised recipients. Therefore, we compared two different types of HES solutions: a balanced salt-based high molecular weight HES solution (670/0.75; high MW group) and a saline-based low molecular weight HES solution (130/0.4; low MW group) with respect to coagulation and biochemical profiles. First, in an in vitro study (n = 48), thromboelastography was performed to determine the effects of two HES solutions on coagulation after diluting (11%) the recipient's blood sample with each HES solution. Second, in an in vivo study, 500 ml of one of the two 6% HES solution was administered to 74 recipients (n = 37, each group) for 30 min after starting the anhepatic period. The coagulation profiles, including thromboelastography, and biochemical profiles were measured before and 30 min after the end of infusion. Less impairment in the thromboelastography profiles and aPTT was observed in the high MW group. A higher calcium concentration and less reduction in platelet count were noted in the high MW group, but lactate accumulation was greater. In conclusion, a balanced salt-based high molecular weight HES solution is a more effective volume replacement during the anhepatic period of liver transplantation with respect to coagulation than a saline-based low molecular weight HES solution, although lactate accumulation is a possible concern.",two,,,,,,,Pharmacological,TRUE,,,,,,,670/0.75,,a balanced salt-based high molecular weight hydroxyethyl starch (HES) solution,,,37,,130/0.4,,a saline-based low molecular weight hydroxyethyl starch (HES) solution,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18836324,"The extract of oak bark (QRB7) has been used for years as a topical medication with success. QRB7 is the proprietary oak bark extract in Bensal HP. It is indicated as an external treatment for the inflammation and irritation associated with many common forms of dermatitis, including certain eczematoid conditions. These conditions include complications associated with pyodermas, and in the treatment of insect bites, burns, and fungal infections.<br /><br />To quantitatively measure the difference in diabetic ulcer size reduction when using Bensal HP versus silver sulfadiazine cream (SSC) for topical treatment as an adjunct to conventional treatment.<br /><br />Private office of the primary author.<br /><br />Forty diabetic patients with noncellulitic plantar Wagner grade 1 or 2 ulcers and a minimal ankle brachial index of 0.75 were randomly assigned to either the Bensal HP (QRB7) treatment group or SSC control group for 6 weeks of treatment. In addition to either Bensal HP or SSC, all wounds were cultured and treated with debridement at time 0, 2, 4, and 6 weeks and with off-loading.<br /><br />The combined wound diameter of the Bensal HP group decreased 72.5% compared to 54.7% for the SSC group. There was a statistical significance between the decreases in wound sizes after 6 weeks of treatment (P = .016). The Cohen effect size for the Bensal HP group was 2.06 compared with 1.03 for the SSC group.<br /><br />In this tightly controlled 6-week study in which no patients were lost to follow-up, Bensal HP seems to be an effective treatment for properly treated diabetic ulcers, outperforming an identical control group whose only difference was SSC as a medication.",two,6 weeks,TRUE,,,,,Pharmacological,TRUE,external use,TRUE,40,TRUE,,,,,Bensal HP (QRB7),,,,,,,silver sulfadiazine cream (SSC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18851769,"The aim of this study was to test the effectiveness of a theory of planned behaviour intervention to increase adherence of community mental health professionals to a national suicide prevention guideline.<br /><br />Routinely collected audit adherence data from an intervention and control site were collected and analysed using time series analysis to test whether the intervention significantly increased adherence. The effects of a local and national event on adherence were also examined.<br /><br />A Theory of Planned Behaviour (TPB) questionnaire, developed from interview findings, was administered to the health professionals. Subjective norms were found to be the most significant predictor of intention to adhere to the guideline, and were targeted with an interactive educational intervention. Time series analysis applied to routinely collected audit adherence data was used to test intervention effectiveness.<br /><br />The TPB accounted for 58% of the variance in intention to adhere, with subjective norms the only significant predictor. The intervention did not significantly increase adherence; however, the national and local events were found to have significantly increased adherence.<br /><br />The TPB was a useful framework for exploring barriers to adherence; however, this did not translate into an effective intervention. Future research should seek collaboration with local experts, and use this information in combination with the TPB, to develop interventions. Collaborative research with experts in pedagogy may also help to develop more effective interventions, particularly education-based interventions that require adult learning.",???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19135563,"A 400 mcg dose of sublingual misoprostol has high efficacy and few side effects when used with 200 mg mifepristone for medical abortion through 63 days' gestation.<br /><br />Eligible and consenting women (n=480) were randomized to 400 mcg of misoprostol sublingually or orally, 24 h after 200 mg of mifepristone. Abortion status was assessed two weeks later.<br /><br />Complete abortion occurred in 98.7% of the sublingual group and 94.0% of the oral group (p value=.006, RR: 1.05, 95% CI=1.01--1.09). Over 90% of women in both arms expressed high satisfaction with the method. Side effects were similar in both groups, with only fever or chills reported by significantly more women in the sublingual arm.<br /><br />The sublingual route appears superior to the regimen of 400 mcg misoprostol used orally and may be a good option for mifepristone medical abortion.",two,,,400 mcg,TRUE,200 mg of mifepristone,TRUE,Pharmacological,TRUE,,,480,TRUE,,,,,misoprostol,,sublingual,,,,,misoprostol,,oral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19365011,"To assess the safety and efficacy of intravitreous pegaptanib sodium for the treatment of macular edema following central retinal vein occlusion (CRVO).<br /><br />This dose-ranging, double-masked, multicenter, phase 2 trial included subjects with CRVO for 6 months' or less duration randomly assigned (1:1:1) to receive pegaptanib sodium or sham injections every 6 weeks for 24 weeks (0.3 mg and 1 mg, n=33; sham, n=32).<br /><br />Visual acuity at week 30.<br /><br />In the primary analysis at week 30, 12 of 33 (36%) subjects treated with 0.3 mg of pegaptanib sodium and 13 of 33 (39%) treated with 1 mg gained 15 or more letters from baseline vs 9 of 32 (28%) sham-treated subjects (P= .48 for 0.3 mg and P= .35 for 1 mg of pegaptanib sodium vs sham). In secondary analyses, subjects treated with pegaptanib sodium were less likely to lose 15 or more letters (9% and 6%; 0.3-mg and 1-mg pegaptanib sodium groups, respectively) compared with sham-treated eyes (31%; P= .03 for 0.3 mg and P= .01 for 1 mg of pegaptanib sodium vs sham) and showed greater improvement in mean visual acuity (+7.1 and +9.9, respectively, vs -3.2 letters with sham; P= .09 for 0.3 mg and P= .02 for 1 mg of pegaptanib sodium vs sham). By week 1, the mean central retinal thickness decreased in the 0.3-mg and 1-mg pegaptanib sodium groups by 269 microm and 210 microm, respectively, vs 5 microm with sham (P< .001).<br /><br />Based on this 30-week study, intravitreous pegaptanib sodium appears to provide visual and anatomical benefits in the treatment of macular edema following CRVO.<br /><br />Benefits accrued with intravitreous pegaptanib sodium treatment of macular edema following CRVO suggest a role for vascular endothelial growth factor in the pathogenesis of this condition.<br /><br />clinicaltrials.gov Identifier: NCT00088283.",three,30 weeks,TRUE,,,,,Pharmacological,TRUE,injection,TRUE,,,every 6 weeks,TRUE,0.3 mg,,intravitreous pegaptanib sodium,,,33,,1 mg,,intravitreous pegaptanib sodium,,,33,,,,control (sham injections),,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20357377,"To evaluate the efficacy of a removable cast walker compared with that of a nonremovable fiberglass off-bearing cast in the treatment of diabetic plantar foot ulcer.<br /><br />Forty-five adult diabetic patients with nonischemic, noninfected neuropathic plantar ulcer were randomly assigned for treatment with a nonremovable fiberglass off-bearing cast (total contact cast [TCC] group) or walker cast (Stabil-D group). Treatment duration was 90 days. Percent reduction in ulcer surface area and total healing rates were evaluated after treatment.<br /><br />A total of 48 patients were screened; however, 2 patients in the TCC group and 1 patient in the Stabil-D group did not complete the study and were considered dropouts. There were no significant differences in demographic and clinic characteristics of the 45 patients completing the study. Ulcer surface decreased from 1.41 to 0.21 cm(2) (P < 0.001) in the TCC group and from 2.18 to 0.45 cm(2) (P < 0.001) in the Stabil-D group, with no significant differences between groups (P = 0.722). Seventeen patients (73.9%) in the TCC group and 16 patients (72.7%) in the Stabil-D group achieved healing (P = 0.794). Average healing time was 35.3 +/- 3.1 and 39.7 +/- 4.2 days in the TCC and Stabil-D group, respectively (P = 0.708).<br /><br />The Stabil-D cast walker, although removable, was equivalent in efficacy to the TCC in terms of ulcer size reduction and total healing rate. The easier use of Stabil-D may help increase the use of off-loading devices in the management of plantar neuropathic diabetic foot ulcers.",two,90 days,TRUE,,,,,Medical Devices,TRUE,,,45,TRUE,,,,,removable cast walker (Stabil-D),,,,,,,nonremovable fiberglass off-bearing cast (TCC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20528605,"Effective pediatric guideline-based asthma care requires the caregiver to accurately relay the child's symptom frequency, pattern of rescue and controller medication use, and level of asthma control to the child's primary care clinician.<br /><br />This study evaluated the longitudinal effects of a caregiver-clinician asthma communication education intervention (ACE) relative to an asthma education control group (CON) on symptom days and controller medication use in inner-city children with asthma. Participants and<br /><br />231 inner-city children with asthma, recruited from urban pediatric emergency departments (EDs) and community practices, were followed for 12 months. Data included number of symptom days and nights, ED visits, hospitalizations, presence of limited activity, and controller medication use over 12 months. Pharmacy records were used to calculate controller to total asthma medication ratios as a proxy of appropriate controller medication use. Multivariate logistic regression models were used to identify factors associated with number of symptom days and nights over the past 30 days at the 12-month follow-up.<br /><br />Most caregivers rated the communication with their child's clinician as high. Unadjusted and adjusted rates of symptom days and nights did not differ by group at follow-up. ACE children tended towards a higher controller to total medication ratio at 12 months as compared to CON children (mean ratio: ACE: 0.54, SD 0.3; CON, 0.45, SD 0.4; p = .07). Activity limitation due to asthma and persistent asthma severity were the only factors significantly associated with reporting any symptom day within the past 30 days, adjusting for treatment group, number of oral corticosteroid courses and number of clinician visits in the last 6 months, seasonality, insurance type, and controller to total asthma medication ratio covariates.<br /><br />A home-based caregiver asthma communication educational intervention was not associated with decreased symptom days. However, a trend was noted in higher controller to total medication ratios in the intervention group. Inner-city caregivers of children with asthma may require a health systems approach to help convey the child's asthma health information to their clinician.",two,12 months,TRUE,,,,,Behavioral,TRUE,,,231,TRUE,,,,,asthma communication education intervention (ACE) ,,,,,,,asthma education control group (CON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20547822,"The transversus abdominis plane (TAP) block is a recently described technique involving injecting local anesthetic between the internal oblique and transversus abdominis layers of the abdominal wall. It has been shown to be effective in reducing morphine consumption and improving postoperative pain relief in several clinical settings.<br /><br />We performed a randomized placebo-controlled trial comparing bilateral ultrasound-guided TAP blocks (2 x 20 mL 0.5% ropivacaine or 0.9% saline) in adult female patients undergoing midline laparotomy for known or presumed gynecological malignancy. Both groups received multimodal IV analgesia. The primary outcomes for the study were defined as the incidence of ""inadequate"" analgesia (defined as a score >50 mm on a visual analog scale) with forced expiration at 2 hours postoperatively and total postoperative morphine consumption at 2 hours and 24 hours.<br /><br />Data from 65 patients were included in the study. The groups were comparable in terms of age, weight, surgical duration, and intraoperative morphine doses. There were no significant differences between the control and treatment groups in the proportion of patients with inadequate analgesia either at rest (39% vs. 22%, P = 0.13) or with coughing (61% vs. 53%, P = 0.54) at 2 hours. There was no significant difference in postoperative morphine consumption between the placebo and treatment groups at 2 hours (13.5 mg vs. 11.87 mg, P = 0.53) or 24 hours (34.0 mg vs. 36.1 mg, P = 0.76). There were no significant differences in the incidence of opioid side effects or patient satisfaction.<br /><br />This study demonstrated that TAP blockade conferred no benefit in addition to multimodal analgesia in women undergoing major gynecological cancer surgery.",two,,,,,,,Pharmacological,TRUE,inject,TRUE,65,TRUE,,,20 mL ,,transversus abdominis plane (TAP) block,,,,twice,,,placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20832550,"To test in a prospective randomized study the hypothesis that use of thromboelastography (TEG) decreases blood transfusion during major surgery.<br /><br />Twenty-eight patients undergoing orthotopic liver transplantation were recruited over 2 years. Patients were randomized into 2 groups: those monitored during surgery using point-of-care TEG analysis, and those monitored using standard laboratory measures of blood coagulation. Specific trigger points for transfusion were established in each group.<br /><br />In patients monitored via TEG, significantly less fresh-frozen plasma was used (mean [SD], 12.8 [7.0] units vs 21.5 [12.7] units). There was a trend toward less blood loss in the TEG-monitored patients; however, the difference was not significant. There were no differences in total fluid administration and 3-year survival.<br /><br />Thromboelastography-guided transfusion decreases transfusion of fresh- frozen plasma in patients undergoing orthotopic liver transplantation, but does not affect 3-year survival.<br /><br />2010 Elsevier Inc. All rights reserved.",two,,,,,,,Medical Devices,TRUE,,,28,TRUE,,,,,monitored during surgery using point-of-care thromboelastography (TEG) analysis,,,,,,,monitored during surgery using standard laboratory measures of blood coagulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21419770,"Several studies have reported that low doses of interferon can delay the development of hepatocellular carcinoma (HCC) and progression of chronic hepatitis C. We investigated the incidence of clinical events among participants of the Evaluation of PegIntron in Control of Hepatitis C Cirrhosis (EPIC)3 program.<br /><br />Data were analyzed from an open-label randomized study of patients with chronic hepatitis C who had failed to respond to interferon alfa plus ribavirin. All patients had compensated cirrhosis with no evidence of HCC. Patients received peginterferon alfa-2b (0.5 Å’Âºg/kg/week; n=311) or no treatment (controls, n=315) for a maximum period of 5 years or until 98 patients had a clinical event (hepatic decompensation, HCC, death, or liver transplantation). The primary measure of efficacy was time until the first clinical event.<br /><br />There was no significant difference in time to first clinical event among patients who received peginterferon alfa-2b compared with controls (hazard ratio [HR], 1.452; 95% confidence interval [CI]: 0.880-2.396). There was no decrease in the development of HCC with therapy. The time to disease progression (clinical events or new or enlarged varices) was significantly longer for patients who received peginterferon alfa-2b compared with controls (HR, 1.564; 95% CI: 1.130-2.166). In a prospectively defined subanalysis of patients with baseline portal hypertension, peginterferon alfa-2b significantly increased the time to first clinical event compared with controls (P=.016). There were no new safety observations.<br /><br />Maintenance therapy with peginterferon alfa-2b is not warranted in all patients and does not prevent HCC. However, there is a potential clinical benefit of long-term suppressive therapy in patients with preexisting portal hypertension.<br /><br />Copyright Â¬Â© 2011 AGA Institute. Published by Elsevier Inc. All rights reserved.",two,5 years,TRUE,,,,,Pharmacological,TRUE,,,,,,,0.5 Å’Âºg/kg,,peginterferon alfa-2b,,,311,per week,,,control,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21698991,"To evaluate the caries-preventive effect of a resin-modified glass-ionomer cement used as occlusal sealant (Vitremer) compared with fluoride varnish (Duraphat) application on occlusal surfaces of permanent first molars (OSPFM) in 6-8 year-old schoolchildren (n=268) at high (HR) and low (LR) caries risk.<br /><br />The children were followed-up for 24 months after being systematically allocated into six groups as follows: Control Groups HRC and LRC: children receiving oral health education (OHE) every 3 months; Groups HRV and LRV: children receiving OHE plus varnish application biannually; and Groups HRS and LRS: children receiving OHE plus a single sealant application . The baseline and follow-up examinations were performed by the same calibrated dentist under natural light, using CPI probes and mirrors, after toothbrushing and air-drying. The DMFS was used to record dental caries, in addition to the detection of initial lesions (IL). Data analysis was performed with two primary outcome measures: DMF and DMF+ IL on the OSPFM.<br /><br />After 24 months, only the HRS group showed statistically lower DMF and DMF+IL increments on OSPFM compared with HRC group. HRV group did not differ from HRC and HRS groups. For LR groups, no statistical difference (P> 0.05) was observed among the treatments.",six,24 months,TRUE,,,,,Behavioral,TRUE,,,268,TRUE,,,,,(HRC) high caries risk children receiving oral health education (OHE) ,educational,,,every 3 months,,,(LRC) low caries risk children receiving oral health education (OHE) ,educational,,,every 3 months,,,(HRV) high caries risk children receiving OHE plus varnish application (Durapha),educational and surgical,,,biannually,,,(LRV) low caries risk children receiving OHE plus varnish application (Durapha),educational and surgical,,,biannually,,,(HRS) high caries risk children receiving OHE plus a single sealant application,educational and surgical,,,one time,,,(LRS) low caries risk children receiving OHE plus a single sealant application,educational and surgical,,,one time,,,,,,,,,,,,,,,,
